,baseMean,log2FoldChange,lfcSE,pvalue,padj
ST8SIA6-AS1,25.59518028,4.863302458,0.707787679,2.51E-13,3.04E-11
LOC105376436,15.76664827,1.327244339,0.421444297,0.000137715,0.000905067
MRC1,1770.93556,-1.109033114,0.32773497,0.00013413,0.000885679
LINC03027,29.98282915,2.145751576,0.355150329,8.37E-11,5.40E-09
PRTFDC1,47.32524587,1.00048416,0.330049165,0.000351384,0.001931422
GPR158,73.4817324,3.304075233,0.532487434,1.27E-11,1.02E-09
LRRC37A6P,39.95119865,3.193262812,0.464625602,2.03E-13,2.55E-11
ODAD2P1,14.25010791,2.928526714,0.59397932,2.58E-08,7.44E-07
LOC102724245,8.248945699,3.940304865,0.736368424,5.18E-09,1.91E-07
LINC02673,2.883582564,2.857802491,1.298147083,0.000556932,0.002825424
LOC107984171,2.819147876,4.494300509,1.763266504,0.000372105,0.002025549
LOC105376471,1.686843563,3.66252516,1.724151478,0.001899204,0.007652934
JCAD,464.7187503,1.94039943,0.259072641,4.22E-15,7.85E-13
LOC101929256,10.33625297,2.289780218,0.487085238,1.44E-07,3.12E-06
LOC107984220,12.93662426,1.239706929,0.308607783,7.51E-06,8.29E-05
LOC441666,96.96351914,2.969833841,0.526988512,4.30E-10,2.19E-08
RET,12.97174155,-1.420022843,0.474148365,0.000370682,0.002018918
ZNF239,71.08572254,1.288001379,0.487261159,0.000591773,0.002972724
CXCL12,1637.217427,-1.122964129,0.379080379,0.000561171,0.002843873
TMEM72,17.49289082,1.174746107,0.375454704,0.000190362,0.001172738
DEPP1,1337.477209,-1.118204448,0.297634533,3.42E-05,0.000288959
SYT15-AS1,13.02902333,1.489757147,0.425514146,3.37E-05,0.000285391
GDF2,183.5512842,-1.873992177,0.657847346,0.00048417,0.002516319
LOC102724593,3.214329196,1.926935388,0.640950709,0.000190877,0.001175625
SYT15B,76.12180446,1.026303753,0.333003544,0.000279454,0.001607167
DKK1,47.86210835,5.404895284,1.00295306,1.82E-06,2.57E-05
LNCAROD,5.68254947,6.014882762,1.43080082,2.22E-09,9.27E-08
LOC105378305,31.4859889,3.759572612,0.556188486,4.00E-13,4.62E-11
LOC105378307,2.206509483,7.957214725,2.89012624,0.000949452,0.004359314
ZWINT,109.4753395,2.300941631,0.328788589,1.12E-13,1.55E-11
BICC1,900.20847,1.276938173,0.480130904,0.000580828,0.002925358
LOC107984234,138.2139342,1.35352366,0.53580975,0.000709373,0.003453546
FAM133CP,71.98380497,1.343843752,0.46805035,0.000283524,0.001625354
LINC00844,181.4390901,-1.832951827,0.642974571,0.000481153,0.002503752
LOC102724768,5.236744535,-1.248226419,0.465077911,0.000974135,0.004456334
CCEPR,23.86114448,2.790661477,0.55155825,1.31E-08,4.29E-07
PHYHIPL,103.1522189,1.461538987,0.377496087,7.73E-06,8.50E-05
CDK1,149.8962249,2.952710018,0.364585871,1.71E-17,6.29E-15
TMEM26,99.33639762,-1.122650852,0.304127768,4.36E-05,0.0003538
TMEM26-AS1,8.873608639,-1.467370913,0.275652791,1.28E-08,4.20E-07
RTKN2,46.35316298,2.874630631,0.407517122,6.47E-14,9.12E-12
ZNF365,5.125973986,1.902868,0.626467058,0.000140364,0.000918147
